Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
0103.b5.txt,1749.48,1076.6,843.69,367.49,13,0,2
0140.b5.txt,1449.37,1052.28,582.4,509.6,10,0,1
0165.b5.txt,1721.43,971.43,671.43,400.0,10,0,0
0200.b5.txt,1697.05,1005.66,697.67,527.97,7,0,1
0300.b5.txt,1789.99,824.52,761.1,415.79,16,1,10
0310.b5.txt,1578.6,1056.75,821.92,534.9,10,0,2
1003.b5.txt,1531.4,1143.26,529.29,423.43,9,0,2
1021.b5.txt,1767.71,1027.44,593.49,293.55,12,1,4
1023.b5.txt,1386.55,1242.5,672.27,594.24,12,2,2
1057.b5.txt,1581.07,986.73,802.08,455.86,9,0,1
1100.b5.txt,1808.12,1121.77,730.63,346.86,14,0,2
1508.b5.txt,1230.47,1171.88,410.16,436.2,16,0,4
1532.b5.txt,1514.68,1251.93,401.85,332.3,13,0,1
1533.b5.txt,1503.51,1210.24,483.27,425.44,14,0,4
2019.b5.txt,1372.71,1165.2,502.79,335.2,6,0,2
2028.b5.txt,1347.39,1364.97,474.52,392.5,11,0,6
2032.b5.txt,978.59,1238.53,524.97,509.68,11,1,3
2034.b5.txt,1529.05,963.3,764.53,443.43,10,0,3
2066.b5.txt,1317.96,1416.8,535.42,370.68,7,0,2
3018.b5.txt,1478.32,1018.4,709.59,532.19,7,0,2
3020.b5.txt,1711.41,830.54,796.98,285.23,9,0,2
