,precision,recall,f1-score,support
ADVE,0.926829268292683,0.8260869565217391,0.8735632183908046,46.0
Email,0.8928571428571429,0.8333333333333334,0.8620689655172413,120.0
Form,0.45255474452554745,0.7209302325581395,0.5560538116591929,86.0
Letter,0.5490196078431373,0.49122807017543857,0.5185185185185185,114.0
Memo,0.5702479338842975,0.5564516129032258,0.563265306122449,124.0
News,0.8095238095238095,0.8947368421052632,0.85,38.0
Note,0.65625,0.525,0.5833333333333334,40.0
Report,0.5254237288135594,0.5849056603773585,0.5535714285714286,53.0
Resume,0.28125,0.375,0.32142857142857145,24.0
Scientific,0.42105263157894735,0.15384615384615385,0.22535211267605634,52.0
accuracy,0.6140602582496413,0.6140602582496413,0.6140602582496413,0.6140602582496413
macro avg,0.6085008867319124,0.5961518861820652,0.5907155266217595,697.0
weighted avg,0.6248203584511003,0.6140602582496413,0.6094892903903746,697.0
